N	K	TruePrice	CM	FST	COS	MCFT1	MCFT2	SET
2048	92	7.16763	7.17378	7.16808	7.16763	6.94861	7.16426	2
2048	92.8	7.45054	7.45085	7.45125	7.45054	7.23161	7.44536	2
2048	93.6	7.74015	7.74672	7.74096	7.74015	7.53508	7.7351	2
2048	94.4	8.03645	8.0426	8.03724	8.03645	7.79918	7.99628	2
2048	95.2	8.33945	8.34038	8.34008	8.33945	8.11475	8.29809	2
2048	96	8.64911	8.65608	8.64949	8.64911	8.42488	8.60676	2
2048	96.8	8.96543	8.97179	8.9658	8.96543	8.77709	8.94586	2
2048	97.6	9.28837	9.28922	9.28899	9.28837	9.10357	9.26866	2
2048	98.4	9.61792	9.62505	9.6187	9.61792	9.47077	9.62769	2
2048	99.2	9.95404	9.96087	9.95491	9.95404	9.81175	9.96428	2
2048	100	10.2967	10.2967	10.2976	10.2967	10.1703	10.2721	2
2048	100.8	10.6458	10.6528	10.6467	10.6458	10.489	10.6207	2
2048	101.6	11.0014	11.0089	11.0023	11.0014	10.8468	10.9756	2
2048	102.4	11.3634	11.365	11.3642	11.3634	11.2544	11.3719	2
2048	103.2	11.7318	11.7381	11.7325	11.7318	11.6393	11.7407	2
2048	104	12.1064	12.1145	12.107	12.1064	11.9958	12.092	2
2048	104.8	12.4873	12.4909	12.4878	12.4873	12.3754	12.4734	2
2048	105.6	12.8744	12.8793	12.8748	12.8744	12.7705	12.864	2
2048	106.4	13.2676	13.276	13.268	13.2676	13.1843	13.2566	2
2048	107.2	13.6669	13.6726	13.6672	13.6669	13.5918	13.6552	2
2048	108	14.0722	14.0746	14.0724	14.0722	14.0092	14.0744	2
2048	108.8	14.4833	14.4913	14.4836	14.4833	14.4301	14.4858	2
2048	109.6	14.9004	14.9079	14.9007	14.9004	14.8344	14.8759	2
2048	110.4	15.3232	15.3246	15.3235	15.3232	15.2667	15.2982	2
2048	111.2	15.7517	15.758	15.752	15.7517	15.6868	15.718	2
2048	112	16.1859	16.1944	16.1862	16.1859	16.1217	16.1511	2
2048	112.8	16.6256	16.6307	16.626	16.6256	16.5774	16.5899	2
2048	113.6	17.0708	17.0739	17.0713	17.0708	17.0542	17.0538	2
2048	114.4	17.5214	17.5295	17.522	17.5214	17.5194	17.5045	2
2048	115.2	17.9774	17.985	17.9781	17.9774	17.9692	17.9654	2
2048	116	18.4386	18.4406	18.4393	18.4386	18.4486	18.4261	2
2048	116.8	18.9049	18.9105	18.9057	18.9049	18.9258	18.9205	2
2048	117.6	19.3763	19.3847	19.3772	19.3763	19.428	19.3916	2
2048	118.4	19.8527	19.859	19.8537	19.8527	19.9108	19.8685	2
2048	119.2	20.3341	20.3349	20.335	20.3341	20.3755	20.3319	2
2048	120	20.8202	20.8271	20.8211	20.8202	20.8668	20.8177	2
4096	80	3.71703	3.71837	3.71717	3.71703	3.39746	3.72162	2
4096	80.8	3.90209	3.90701	3.90221	3.90209	3.58882	3.90701	2
4096	81.6	4.09333	4.09566	4.09338	4.09333	3.77885	4.09386	2
4096	82.4	4.29085	4.29489	4.29099	4.29085	3.98233	4.29105	2
4096	83.2	4.49468	4.49961	4.49482	4.49468	4.19936	4.50098	2
4096	84	4.7049	4.70547	4.70499	4.7049	4.41494	4.71139	2
4096	84.8	4.92156	4.92707	4.92173	4.92156	4.63951	4.91902	2
4096	85.6	5.14471	5.14867	5.14477	5.14471	4.86427	5.142	2
4096	86.4	5.37438	5.37752	5.37455	5.37438	5.10291	5.37163	2
4096	87.2	5.61063	5.61674	5.61073	5.61063	5.35025	5.61727	2
4096	88	5.85348	5.85597	5.85365	5.85348	5.6031	5.86001	2
4096	88.8	6.10296	6.10779	6.10305	6.10296	5.85292	6.1061	2
4096	89.6	6.3591	6.36532	6.35929	6.3591	6.12044	6.36232	2
4096	90.4	6.62192	6.62286	6.622	6.62192	6.38542	6.61836	2
4096	91.2	6.89142	6.89733	6.89161	6.89142	6.6597	6.88802	2
4096	92	7.16763	7.17378	7.16779	7.16763	6.94861	7.16426	2
4096	92.8	7.45054	7.45085	7.45064	7.45054	7.23161	7.44536	2
4096	93.6	7.74015	7.74672	7.74035	7.74015	7.53508	7.7351	2
4096	94.4	8.03645	8.0426	8.03662	8.03645	7.79918	7.99628	2
4096	95.2	8.33945	8.34038	8.33954	8.33945	8.11475	8.29809	2
4096	96	8.64911	8.65608	8.64931	8.64911	8.42488	8.60676	2
4096	96.8	8.96543	8.97179	8.96564	8.96543	8.77709	8.94586	2
4096	97.6	9.28837	9.28922	9.28851	9.28837	9.10357	9.26866	2
4096	98.4	9.61792	9.62505	9.61804	9.61792	9.47077	9.62769	2
4096	99.2	9.95404	9.96087	9.95424	9.95404	9.81175	9.96428	2
4096	100	10.2967	10.2967	10.2969	10.2967	10.1703	10.2721	2
4096	100.8	10.6458	10.6528	10.646	10.6458	10.489	10.6207	2
4096	101.6	11.0014	11.0089	11.0016	11.0014	10.8468	10.9756	2
4096	102.4	11.3634	11.365	11.3635	11.3634	11.2544	11.3719	2
4096	103.2	11.7318	11.7381	11.7319	11.7318	11.6393	11.7407	2
4096	104	12.1064	12.1145	12.1066	12.1064	11.9958	12.092	2
4096	104.8	12.4873	12.4909	12.4875	12.4873	12.3754	12.4734	2
4096	105.6	12.8744	12.8793	12.8746	12.8744	12.7705	12.864	2
4096	106.4	13.2676	13.276	13.2679	13.2676	13.1843	13.2566	2
4096	107.2	13.6669	13.6726	13.6671	13.6669	13.5918	13.6552	2
4096	108	14.0722	14.0746	14.0724	14.0722	14.0092	14.0744	2
4096	108.8	14.4833	14.4913	14.4836	14.4833	14.4301	14.4858	2
4096	109.6	14.9004	14.9079	14.9006	14.9004	14.8344	14.8759	2
4096	110.4	15.3232	15.3246	15.3234	15.3232	15.2667	15.2982	2
4096	111.2	15.7517	15.758	15.752	15.7517	15.6868	15.718	2
4096	112	16.1859	16.1944	16.1861	16.1859	16.1217	16.1511	2
4096	112.8	16.6256	16.6307	16.6259	16.6256	16.5774	16.5899	2
4096	113.6	17.0708	17.0739	17.0711	17.0708	17.0542	17.0538	2
4096	114.4	17.5214	17.5295	17.5216	17.5214	17.5194	17.5045	2
4096	115.2	17.9774	17.985	17.9775	17.9774	17.9692	17.9654	2
4096	116	18.4386	18.4406	18.4386	18.4386	18.4486	18.4261	2
4096	116.8	18.9049	18.9105	18.905	18.9049	18.9258	18.9205	2
4096	117.6	19.3763	19.3847	19.3765	19.3763	19.428	19.3916	2
4096	118.4	19.8527	19.859	19.853	19.8527	19.9108	19.8685	2
4096	119.2	20.3341	20.3349	20.3343	20.3341	20.3755	20.3319	2
4096	120	20.8202	20.8271	20.8204	20.8202	20.8668	20.8177	2
8192	80	3.71703	3.71837	3.71706	3.71703	3.39746	3.72162	2
8192	80.8	3.90209	3.90701	3.9021	3.90209	3.58882	3.90701	2
8192	81.6	4.09333	4.09566	4.09337	4.09333	3.77885	4.09386	2
8192	82.4	4.29085	4.29489	4.29087	4.29085	3.98233	4.29105	2
8192	83.2	4.49468	4.49961	4.4947	4.49468	4.19936	4.50098	2
8192	84	4.7049	4.70547	4.70494	4.7049	4.41494	4.71139	2
8192	84.8	4.92156	4.92707	4.9216	4.92156	4.63951	4.91902	2
8192	85.6	5.14471	5.14867	5.14475	5.14471	4.86427	5.142	2
8192	86.4	5.37438	5.37752	5.37442	5.37438	5.10291	5.37163	2
8192	87.2	5.61063	5.61674	5.61067	5.61063	5.35025	5.61727	2
8192	88	5.85348	5.85597	5.85352	5.85348	5.6031	5.86001	2
8192	88.8	6.10296	6.10779	6.10301	6.10296	5.85292	6.1061	2
8192	89.6	6.3591	6.36532	6.35915	6.3591	6.12044	6.36232	2
8192	90.4	6.62192	6.62286	6.62197	6.62192	6.38542	6.61836	2
8192	91.2	6.89142	6.89733	6.89146	6.89142	6.6597	6.88802	2
8192	92	7.16763	7.17378	7.16765	7.16763	6.94861	7.16426	2
8192	92.8	7.45054	7.45085	7.45058	7.45054	7.23161	7.44536	2
8192	93.6	7.74015	7.74672	7.7402	7.74015	7.53508	7.7351	2
8192	94.4	8.03645	8.0426	8.03647	8.03645	7.79918	7.99628	2
8192	95.2	8.33945	8.34038	8.3395	8.33945	8.11475	8.29809	2
8192	96	8.64911	8.65608	8.64915	8.64911	8.42488	8.60676	2
8192	96.8	8.96543	8.97179	8.96547	8.96543	8.77709	8.94586	2
8192	97.6	9.28837	9.28922	9.28842	9.28837	9.10357	9.26866	2
8192	98.4	9.61792	9.62505	9.61797	9.61792	9.47077	9.62769	2
8192	99.2	9.95404	9.96087	9.95407	9.95404	9.81175	9.96428	2
8192	100	10.2967	10.2967	10.2967	10.2967	10.1703	10.2721	2
8192	100.8	10.6458	10.6528	10.6459	10.6458	10.489	10.6207	2
8192	101.6	11.0014	11.0089	11.0015	11.0014	10.8468	10.9756	2
8192	102.4	11.3634	11.365	11.3635	11.3634	11.2544	11.3719	2
8192	103.2	11.7318	11.7381	11.7318	11.7318	11.6393	11.7407	2
8192	104	12.1064	12.1145	12.1065	12.1064	11.9958	12.092	2
8192	104.8	12.4873	12.4909	12.4874	12.4873	12.3754	12.4734	2
8192	105.6	12.8744	12.8793	12.8745	12.8744	12.7705	12.864	2
8192	106.4	13.2676	13.276	13.2677	13.2676	13.1843	13.2566	2
8192	107.2	13.6669	13.6726	13.667	13.6669	13.5918	13.6552	2
8192	108	14.0722	14.0746	14.0722	14.0722	14.0092	14.0744	2
8192	108.8	14.4833	14.4913	14.4834	14.4833	14.4301	14.4858	2
8192	109.6	14.9004	14.9079	14.9004	14.9004	14.8344	14.8759	2
8192	110.4	15.3232	15.3246	15.3233	15.3232	15.2667	15.2982	2
8192	111.2	15.7517	15.758	15.7518	15.7517	15.6868	15.718	2
8192	112	16.1859	16.1944	16.186	16.1859	16.1217	16.1511	2
8192	112.8	16.6256	16.6307	16.6257	16.6256	16.5774	16.5899	2
8192	113.6	17.0708	17.0739	17.0709	17.0708	17.0542	17.0538	2
8192	114.4	17.5214	17.5295	17.5215	17.5214	17.5194	17.5045	2
8192	115.2	17.9774	17.985	17.9774	17.9774	17.9692	17.9654	2
8192	116	18.4386	18.4406	18.4386	18.4386	18.4486	18.4261	2
8192	116.8	18.9049	18.9105	18.9049	18.9049	18.9258	18.9205	2
8192	117.6	19.3763	19.3847	19.3763	19.3763	19.428	19.3916	2
8192	118.4	19.8527	19.859	19.8528	19.8527	19.9108	19.8685	2
8192	119.2	20.3341	20.3349	20.3341	20.3341	20.3755	20.3319	2
8192	120	20.8202	20.8271	20.8203	20.8202	20.8668	20.8177	2
512	80	6.30372	6.30096	6.30816	6.30372	5.89958	6.28827	3
512	80.8	6.536	6.53679	6.54309	6.536	6.11527	6.52016	3
512	81.6	6.77433	6.77262	6.7833	6.77433	6.36245	6.76926	3
512	82.4	7.01877	7.01881	7.02351	7.01877	6.61629	7.01318	3
512	83.2	7.26941	7.27036	7.27716	7.26941	6.87638	7.26334	3
512	84	7.52632	7.52304	7.53623	7.52632	7.16697	7.5436	3
512	84.8	7.78957	7.79121	7.79529	7.78957	7.4302	7.80741	3
512	85.6	8.05923	8.05938	8.06714	8.05923	7.6886	8.05083	3
512	86.4	8.33536	8.33476	8.34629	8.33536	7.9668	8.3272	3
512	87.2	8.61803	8.62045	8.62545	8.61803	8.26066	8.63468	3
512	88	8.9073	8.90613	8.91457	8.9073	8.57737	8.92373	3
512	88.8	9.20323	9.20448	9.21505	9.20323	8.87396	9.21947	3
512	89.6	9.50587	9.50858	9.51553	9.50587	9.18168	9.50915	3
512	90.4	9.81528	9.81268	9.82062	9.81528	9.49396	9.81855	3
512	91.2	10.1315	10.134	10.1436	10.1315	9.8086	10.1205	3
512	92	10.4546	10.4574	10.4666	10.4546	10.135	10.4429	3
512	92.8	10.7846	10.7814	10.7896	10.7846	10.468	10.7785	3
512	93.6	11.1215	11.1249	11.1326	11.1215	10.8286	11.1154	3
512	94.4	11.4653	11.4683	11.4793	11.4653	11.1775	11.4594	3
512	95.2	11.8162	11.8138	11.8259	11.8162	11.516	11.7793	3
512	96	12.1741	12.1781	12.182	12.1741	11.8726	12.1365	3
512	96.8	12.539	12.5424	12.5533	12.539	12.2635	12.5244	3
512	97.6	12.911	12.9086	12.9246	12.911	12.6506	12.8964	3
512	98.4	13.29	13.2943	13.2959	13.29	13.0442	13.3282	3
512	99.2	13.676	13.6801	13.6881	13.676	13.4898	13.715	3
512	100	14.0691	14.0659	14.0849	14.0691	13.8796	14.1087	3
512	100.8	14.4692	14.4736	14.4816	14.4692	14.2637	14.4828	3
512	101.6	14.8764	14.8813	14.8823	14.8764	14.6868	14.8903	3
512	102.4	15.2905	15.2891	15.3051	15.2905	15.1063	15.2949	3
512	103.2	15.7116	15.7154	15.7279	15.7116	15.537	15.7164	3
512	104	16.1396	16.1454	16.1507	16.1396	15.9579	16.1447	3
512	104.8	16.5746	16.5754	16.5832	16.5746	16.4068	16.5854	3
512	105.6	17.0163	17.0187	17.0322	17.0163	16.8671	17.0272	3
512	106.4	17.4649	17.471	17.4813	17.4649	17.3356	17.4848	3
512	107.2	17.9201	17.9234	17.9303	17.9201	17.7976	17.9393	3
512	108	18.382	18.3817	18.3919	18.382	18.2594	18.38	3
512	108.8	18.8506	18.8563	18.867	18.8506	18.7133	18.849	3
512	109.6	19.3256	19.3309	19.3421	19.3256	19.2129	19.3235	3
512	110.4	19.807	19.8056	19.8173	19.807	19.6996	19.7973	3
512	111.2	20.2948	20.2988	20.3045	20.2948	20.1894	20.2855	3
512	112	20.7889	20.7953	20.8052	20.7889	20.7099	20.801	3
512	112.8	21.2891	21.2918	21.3059	21.2891	21.2154	21.3012	3
512	113.6	21.7954	21.7958	21.8066	21.7954	21.7458	21.7705	3
512	114.4	22.3076	22.3135	22.3158	22.3076	22.2257	22.283	3
512	115.2	22.8257	22.8312	22.8411	22.8257	22.7409	22.8011	3
512	116	23.3496	23.3489	23.3665	23.3496	23.2507	23.3003	3
512	116.8	23.8791	23.8823	23.8918	23.8791	23.7795	23.8293	3
512	117.6	24.4141	24.4203	24.4194	24.4141	24.3951	24.4142	3
512	118.4	24.9546	24.9584	24.9682	24.9546	24.9351	24.9544	3
512	119.2	25.5003	25.4983	25.5169	25.5003	25.4739	25.485	3
512	120	26.0513	26.0558	26.0656	26.0513	26.042	26.0364	3
1024	80	6.30372	6.30503	6.30556	6.30372	5.89958	6.28827	3
1024	80.8	6.536	6.54081	6.53681	6.536	6.11527	6.52016	3
1024	81.6	6.77433	6.77659	6.77649	6.77433	6.36245	6.76926	3
1024	82.4	7.01877	7.02274	7.02085	7.01877	6.61629	7.01318	3
1024	83.2	7.26941	7.27425	7.27032	7.26941	6.87638	7.26334	3
1024	84	7.52632	7.52688	7.52873	7.52632	7.16697	7.5436	3
1024	84.8	7.78957	7.79501	7.7917	7.78957	7.4302	7.80741	3
1024	85.6	8.05923	8.06315	8.06063	8.05923	7.6886	8.05083	3
1024	86.4	8.33536	8.33849	8.33808	8.33536	7.9668	8.3272	3
1024	87.2	8.61803	8.62414	8.61987	8.61803	8.26066	8.63468	3
1024	88	8.9073	8.90979	8.90949	8.9073	8.57737	8.92373	3
1024	88.8	9.20323	9.20811	9.20611	9.20323	8.87396	9.21947	3
1024	89.6	9.50587	9.51217	9.50673	9.50587	9.18168	9.50915	3
1024	90.4	9.81528	9.81623	9.81827	9.81528	9.49396	9.81855	3
1024	91.2	10.1315	10.1376	10.1339	10.1315	9.8086	10.1205	3
1024	92	10.4546	10.4609	10.4569	10.4546	10.135	10.4429	3
1024	92.8	10.7846	10.7849	10.7878	10.7846	10.468	10.7785	3
1024	93.6	11.1215	11.1283	11.1224	11.1215	10.8286	11.1154	3
1024	94.4	11.4653	11.4718	11.4688	11.4653	11.1775	11.4594	3
1024	95.2	11.8162	11.8172	11.8184	11.8162	11.516	11.7793	3
1024	96	12.1741	12.1815	12.1772	12.1741	11.8726	12.1365	3
1024	96.8	12.539	12.5457	12.5422	12.539	12.2635	12.5244	3
1024	97.6	12.911	12.9119	12.9134	12.911	12.6506	12.8964	3
1024	98.4	13.29	13.2976	13.2937	13.29	13.0442	13.3282	3
1024	99.2	13.676	13.6834	13.6775	13.676	13.4898	13.715	3
1024	100	14.0691	14.0691	14.073	14.0691	13.8796	14.1087	3
1024	100.8	14.4692	14.4768	14.4707	14.4692	14.2637	14.4828	3
1024	101.6	14.8764	14.8845	14.8803	14.8764	14.6868	14.8903	3
1024	102.4	15.2905	15.2922	15.2928	15.2905	15.1063	15.2949	3
1024	103.2	15.7116	15.7186	15.7155	15.7116	15.537	15.7164	3
1024	104	16.1396	16.1486	16.1425	16.1396	15.9579	16.1447	3
1024	104.8	16.5746	16.5785	16.5783	16.5746	16.4068	16.5854	3
1024	105.6	17.0163	17.0218	17.0195	17.0163	16.8671	17.0272	3
1024	106.4	17.4649	17.4741	17.4684	17.4649	17.3356	17.4848	3
1024	107.2	17.9201	17.9265	17.9235	17.9201	17.7976	17.9393	3
1024	108	18.382	18.3848	18.3855	18.382	18.2594	18.38	3
1024	108.8	18.8506	18.8594	18.8541	18.8506	18.7133	18.849	3
1024	109.6	19.3256	19.334	19.3291	19.3256	19.2129	19.3235	3
1024	110.4	19.807	19.8086	19.8105	19.807	19.6996	19.7973	3
1024	111.2	20.2948	20.3018	20.2984	20.2948	20.1894	20.2855	3
1024	112	20.7889	20.7983	20.7923	20.7889	20.7099	20.801	3
1024	112.8	21.2891	21.2947	21.2928	21.2891	21.2154	21.3012	3
1024	113.6	21.7954	21.7987	21.7985	21.7954	21.7458	21.7705	3
1024	114.4	22.3076	22.3164	22.3115	22.3076	22.2257	22.283	3
1024	115.2	22.8257	22.8341	22.8284	22.8257	22.7409	22.8011	3
1024	116	23.3496	23.3518	23.3536	23.3496	23.2507	23.3003	3
1024	116.8	23.8791	23.8852	23.8812	23.8791	23.7795	23.8293	3
1024	117.6	24.4141	24.4232	24.4183	24.4141	24.3951	24.4142	3
1024	118.4	24.9546	24.9613	24.9558	24.9546	24.9351	24.9544	3
1024	119.2	25.5003	25.5012	25.5045	25.5003	25.4739	25.485	3
1024	120	26.0513	26.0587	26.0531	26.0513	26.042	26.0364	3
2048	80	6.30372	6.30503	6.30393	6.30372	5.89958	6.28827	3
2048	80.8	6.536	6.54081	6.53654	6.536	6.11527	6.52016	3
2048	81.6	6.77433	6.77659	6.77479	6.77433	6.36245	6.76926	3
2048	82.4	7.01877	7.02274	7.01905	7.01877	6.61629	7.01318	3
2048	83.2	7.26941	7.27425	7.27	7.26941	6.87638	7.26334	3
2048	84	7.52632	7.52688	7.52687	7.52632	7.16697	7.5436	3
2048	84.8	7.78957	7.79502	7.78973	7.78957	7.4302	7.80741	3
2048	85.6	8.05923	8.06315	8.0598	8.05923	7.6886	8.05083	3
2048	86.4	8.33536	8.33849	8.33603	8.33536	7.9668	8.3272	3
2048	87.2	8.61803	8.62414	8.61853	8.61803	8.26066	8.63468	3
2048	88	8.9073	8.90979	8.90759	8.9073	8.57737	8.92373	3
2048	88.8	9.20323	9.20811	9.20387	9.20323	8.87396	9.21947	3
2048	89.6	9.50587	9.51217	9.50663	9.50587	9.18168	9.50915	3
2048	90.4	9.81528	9.81624	9.81594	9.81528	9.49396	9.81855	3
2048	91.2	10.1315	10.1376	10.1319	10.1315	9.8086	10.1205	3
2048	92	10.4546	10.4609	10.455	10.4546	10.135	10.4429	3
2048	92.8	10.7846	10.7849	10.7853	10.7846	10.468	10.7785	3
2048	93.6	11.1215	11.1283	11.1223	11.1215	10.8286	11.1154	3
2048	94.4	11.4653	11.4718	11.4662	11.4653	11.1775	11.4594	3
2048	95.2	11.8162	11.8172	11.8169	11.8162	11.516	11.7793	3
2048	96	12.1741	12.1815	12.1745	12.1741	11.8726	12.1365	3
2048	96.8	12.539	12.5457	12.5394	12.539	12.2635	12.5244	3
2048	97.6	12.911	12.9119	12.9116	12.911	12.6506	12.8964	3
2048	98.4	13.29	13.2976	13.2908	13.29	13.0442	13.3282	3
2048	99.2	13.676	13.6834	13.677	13.676	13.4898	13.715	3
2048	100	14.0691	14.0691	14.0701	14.0691	13.8796	14.1087	3
2048	100.8	14.4692	14.4768	14.4702	14.4692	14.2637	14.4828	3
2048	101.6	14.8764	14.8845	14.8773	14.8764	14.6868	14.8903	3
2048	102.4	15.2905	15.2922	15.2914	15.2905	15.1063	15.2949	3
2048	103.2	15.7116	15.7186	15.7124	15.7116	15.537	15.7164	3
2048	104	16.1396	16.1486	16.1403	16.1396	15.9579	16.1447	3
2048	104.8	16.5746	16.5786	16.5751	16.5746	16.4068	16.5854	3
2048	105.6	17.0163	17.0218	17.0168	17.0163	16.8671	17.0272	3
2048	106.4	17.4649	17.4741	17.4652	17.4649	17.3356	17.4848	3
2048	107.2	17.9201	17.9265	17.9204	17.9201	17.7976	17.9393	3
2048	108	18.382	18.3848	18.3823	18.382	18.2594	18.38	3
2048	108.8	18.8506	18.8594	18.8509	18.8506	18.7133	18.849	3
2048	109.6	19.3256	19.334	19.3259	19.3256	19.2129	19.3235	3
2048	110.4	19.807	19.8086	19.8073	19.807	19.6996	19.7973	3
2048	111.2	20.2948	20.3018	20.2951	20.2948	20.1894	20.2855	3
2048	112	20.7889	20.7983	20.7893	20.7889	20.7099	20.801	3
2048	112.8	21.2891	21.2947	21.2896	21.2891	21.2154	21.3012	3
2048	113.6	21.7954	21.7987	21.7959	21.7954	21.7458	21.7705	3
2048	114.4	22.3076	22.3164	22.3083	22.3076	22.2257	22.283	3
2048	115.2	22.8257	22.8341	22.8265	22.8257	22.7409	22.8011	3
2048	116	23.3496	23.3518	23.3504	23.3496	23.2507	23.3003	3
2048	116.8	23.8791	23.8852	23.88	23.8791	23.7795	23.8293	3
2048	117.6	24.4141	24.4232	24.4151	24.4141	24.3951	24.4142	3
2048	118.4	24.9546	24.9613	24.9556	24.9546	24.9351	24.9544	3
2048	119.2	25.5003	25.5012	25.5014	25.5003	25.4739	25.485	3
2048	120	26.0513	26.0587	26.0523	26.0513	26.042	26.0364	3
4096	80	6.30372	6.30503	6.30385	6.30372	5.89958	6.28827	3
4096	80.8	6.536	6.54081	6.53612	6.536	6.11527	6.52016	3
4096	81.6	6.77433	6.77659	6.77437	6.77433	6.36245	6.76926	3
4096	82.4	7.01877	7.02274	7.01891	7.01877	6.61629	7.01318	3
4096	83.2	7.26941	7.27425	7.26955	7.26941	6.87638	7.26334	3
4096	84	7.52632	7.52688	7.5264	7.52632	7.16697	7.5436	3
4096	84.8	7.78957	7.79502	7.78973	7.78957	7.4302	7.80741	3
4096	85.6	8.05923	8.06315	8.05929	8.05923	7.6886	8.05083	3
4096	86.4	8.33536	8.33849	8.33552	8.33536	7.9668	8.3272	3
4096	87.2	8.61803	8.62414	8.61812	8.61803	8.26066	8.63468	3
4096	88	8.9073	8.90979	8.90747	8.9073	8.57737	8.92373	3
4096	88.8	9.20323	9.20811	9.20331	9.20323	8.87396	9.21947	3
4096	89.6	9.50587	9.51217	9.50606	9.50587	9.18168	9.50915	3
4096	90.4	9.81528	9.81624	9.81536	9.81528	9.49396	9.81855	3
4096	91.2	10.1315	10.1376	10.1317	10.1315	9.8086	10.1205	3
4096	92	10.4546	10.4609	10.4548	10.4546	10.135	10.4429	3
4096	92.8	10.7846	10.7849	10.7847	10.7846	10.468	10.7785	3
4096	93.6	11.1215	11.1283	11.1217	11.1215	10.8286	11.1154	3
4096	94.4	11.4653	11.4718	11.4655	11.4653	11.1775	11.4594	3
4096	95.2	11.8162	11.8172	11.8163	11.8162	11.516	11.7793	3
4096	96	12.1741	12.1815	12.1743	12.1741	11.8726	12.1365	3
4096	96.8	12.539	12.5457	12.5392	12.539	12.2635	12.5244	3
4096	97.6	12.911	12.9119	12.9111	12.911	12.6506	12.8964	3
4096	98.4	13.29	13.2976	13.2901	13.29	13.0442	13.3282	3
4096	99.2	13.676	13.6834	13.6762	13.676	13.4898	13.715	3
4096	100	14.0691	14.0691	14.0694	14.0691	13.8796	14.1087	3
4096	100.8	14.4692	14.4768	14.4695	14.4692	14.2637	14.4828	3
4096	101.6	14.8764	14.8845	14.8765	14.8764	14.6868	14.8903	3
4096	102.4	15.2905	15.2922	15.2906	15.2905	15.1063	15.2949	3
4096	103.2	15.7116	15.7186	15.7118	15.7116	15.537	15.7164	3
4096	104	16.1396	16.1486	16.1398	16.1396	15.9579	16.1447	3
4096	104.8	16.5746	16.5786	16.5748	16.5746	16.4068	16.5854	3
4096	105.6	17.0163	17.0218	17.0166	17.0163	16.8671	17.0272	3
4096	106.4	17.4649	17.4741	17.4651	17.4649	17.3356	17.4848	3
4096	107.2	17.9201	17.9265	17.9204	17.9201	17.7976	17.9393	3
4096	108	18.382	18.3848	18.3823	18.382	18.2594	18.38	3
4096	108.8	18.8506	18.8594	18.8508	18.8506	18.7133	18.849	3
4096	109.6	19.3256	19.334	19.3258	19.3256	19.2129	19.3235	3
4096	110.4	19.807	19.8086	19.8073	19.807	19.6996	19.7973	3
4096	111.2	20.2948	20.3018	20.2951	20.2948	20.1894	20.2855	3
4096	112	20.7889	20.7983	20.7892	20.7889	20.7099	20.801	3
4096	112.8	21.2891	21.2947	21.2894	21.2891	21.2154	21.3012	3
4096	113.6	21.7954	21.7987	21.7956	21.7954	21.7458	21.7705	3
4096	114.4	22.3076	22.3164	22.3078	22.3076	22.2257	22.283	3
4096	115.2	22.8257	22.8341	22.8259	22.8257	22.7409	22.8011	3
4096	116	23.3496	23.3518	23.3496	23.3496	23.2507	23.3003	3
4096	116.8	23.8791	23.8852	23.8792	23.8791	23.7795	23.8293	3
4096	117.6	24.4141	24.4232	24.4143	24.4141	24.3951	24.4142	3
4096	118.4	24.9546	24.9613	24.9548	24.9546	24.9351	24.9544	3
4096	119.2	25.5003	25.5012	25.5006	25.5003	25.4739	25.485	3
4096	120	26.0513	26.0587	26.0515	26.0513	26.042	26.0364	3
8192	80	6.30372	6.30503	6.30375	6.30372	5.89958	6.28827	3
8192	80.8	6.536	6.54081	6.53602	6.536	6.11527	6.52016	3
8192	81.6	6.77433	6.77659	6.77436	6.77433	6.36245	6.76926	3
8192	82.4	7.01877	7.02274	7.0188	7.01877	6.61629	7.01318	3
8192	83.2	7.26941	7.27425	7.26943	7.26941	6.87638	7.26334	3
8192	84	7.52632	7.52688	7.52636	7.52632	7.16697	7.5436	3
8192	84.8	7.78957	7.79502	7.78961	7.78957	7.4302	7.80741	3
8192	85.6	8.05923	8.06315	8.05927	8.05923	7.6886	8.05083	3
8192	86.4	8.33536	8.33849	8.3354	8.33536	7.9668	8.3272	3
8192	87.2	8.61803	8.62414	8.61807	8.61803	8.26066	8.63468	3
8192	88	8.9073	8.90979	8.90734	8.9073	8.57737	8.92373	3
8192	88.8	9.20323	9.20811	9.20327	9.20323	8.87396	9.21947	3
8192	89.6	9.50587	9.51217	9.50592	9.50587	9.18168	9.50915	3
8192	90.4	9.81528	9.81624	9.81533	9.81528	9.49396	9.81855	3
8192	91.2	10.1315	10.1376	10.1315	10.1315	9.8086	10.1205	3
8192	92	10.4546	10.4609	10.4546	10.4546	10.135	10.4429	3
8192	92.8	10.7846	10.7849	10.7846	10.7846	10.468	10.7785	3
8192	93.6	11.1215	11.1283	11.1215	11.1215	10.8286	11.1154	3
8192	94.4	11.4653	11.4718	11.4654	11.4653	11.1775	11.4594	3
8192	95.2	11.8162	11.8172	11.8163	11.8162	11.516	11.7793	3
8192	96	12.1741	12.1815	12.1741	12.1741	11.8726	12.1365	3
8192	96.8	12.539	12.5457	12.5391	12.539	12.2635	12.5244	3
8192	97.6	12.911	12.9119	12.911	12.911	12.6506	12.8964	3
8192	98.4	13.29	13.2976	13.29	13.29	13.0442	13.3282	3
8192	99.2	13.676	13.6834	13.676	13.676	13.4898	13.715	3
