N	K	TruePrice	CM	FST	COS	MCFT1	MCFT2	SET
4096	27	18.4785	18.4787	18.4785	18.478	18.492	18.4687	1
4096	28	19.3778	19.378	19.3778	19.3772	19.4067	19.3718	1
4096	29	20.2813	20.2815	20.2813	20.2806	20.2952	20.2796	1
4096	30	21.1885	21.1885	21.1885	21.1877	21.2263	21.1907	1
4096	31	22.0992	22.0994	22.0992	22.0984	22.1343	22.094	1
4096	32	23.0132	23.0134	23.0132	23.0122	23.0491	23.0125	1
4096	33	23.9302	23.9304	23.9302	23.9292	23.9617	23.9126	1
4096	34	24.8501	24.8501	24.8501	24.8489	24.8728	24.8353	1
4096	35	25.7726	25.7727	25.7726	25.7713	25.7933	25.7556	1
4096	36	26.6975	26.6977	26.6975	26.6961	26.7502	26.7056	1
4096	37	27.6248	27.625	27.6248	27.6232	27.7444	27.6321	1
4096	38	28.5543	28.5545	28.5543	28.5525	28.7006	28.565	1
4096	39	29.4858	29.486	29.4858	29.4838	29.698	29.4981	1
4096	40	30.4192	30.4194	30.4192	30.4171	30.6319	30.4137	1
4096	41	31.3544	31.3546	31.3544	31.3521	31.6383	31.3542	1
4096	42	32.2913	32.2915	32.2913	32.2888	32.5844	32.2862	1
4096	43	33.2297	33.2299	33.2297	33.227	33.6068	33.236	1
4096	44	34.1697	34.1699	34.1697	34.1668	34.5448	34.1659	1
4096	45	35.1112	35.1113	35.1112	35.108	35.5274	35.103	1
4096	46	36.0539	36.054	36.0539	36.0505	36.4918	36.0395	1
4096	47	36.998	36.998	36.998	36.9943	37.5086	37.0106	1
4096	48	37.9432	37.9434	37.9432	37.9392	38.4367	37.9388	1
4096	49	38.8896	38.8898	38.8896	38.8853	39.4056	38.8728	1
4096	50	39.8371	39.8373	39.8371	39.8325	40.3955	39.8259	1
8192	1	0.0351182	0.0351221	0.0351182	0.0351182	0.0243684	0.0350792	1
8192	1	0.0351182	0.0351221	0.0351182	0.0351182	0.0242366	0.0349167	1
8192	2	0.195762	0.195798	0.195763	0.195762	0.18558	0.194909	1
8192	3	0.477935	0.477972	0.477936	0.477935	0.46868	0.477434	1
8192	4	0.858846	0.858935	0.858846	0.858845	0.852596	0.858068	1
8192	5	1.31904	1.31914	1.31904	1.31904	1.31491	1.31909	1
8192	6	1.84351	1.84366	1.84352	1.84351	1.84174	1.84314	1
8192	7	2.42079	2.42092	2.42079	2.42079	2.42051	2.41693	1
8192	8	3.04201	3.04206	3.04201	3.042	3.03969	3.03778	1
8192	9	3.7002	3.70033	3.7002	3.70019	3.69841	3.69567	1
8192	10	4.38984	4.38984	4.38984	4.38983	4.39357	4.38974	1
8192	11	5.10648	5.10661	5.10648	5.10646	5.11198	5.10642	1
8192	12	5.84647	5.84666	5.84647	5.84645	5.85449	5.84855	1
8192	13	6.60682	6.60705	6.60682	6.60679	6.6155	6.60919	1
8192	14	7.38502	7.38526	7.38502	7.38498	7.39796	7.3882	1
8192	15	8.17898	8.17915	8.17898	8.17893	8.19261	8.18241	1
8192	16	8.98692	8.98708	8.98692	8.98686	9.00031	8.98767	1
8192	17	9.80732	9.8075	9.80733	9.80724	9.82243	9.80842	1
8192	18	10.6389	10.6391	10.6389	10.6388	10.656	10.6319	1
8192	19	11.4805	11.4807	11.4805	11.4803	11.4986	11.4732	1
