N	K	TruePrice	CM	FST	COS	SET
2048	89.6	16.2967	16.2966	16.2962	16.2971	1
2048	90.4	15.7196	15.7196	15.7191	15.7198	1
2048	91.2	15.1491	15.1491	15.1483	15.1485	1
2048	92	14.5854	14.5854	14.5847	14.5866	1
2048	92.8	14.0287	14.0287	14.0282	14.0274	1
2048	93.6	13.4793	13.4793	13.4789	13.4808	1
2048	94.4	12.9374	12.9374	12.937	12.936	1
2048	95.2	12.4034	12.4034	12.4028	12.4048	1
2048	96	11.8776	11.8776	11.8767	11.8765	1
2048	96.8	11.3603	11.3602	11.3593	11.3613	1
2048	97.6	10.8518	10.8518	10.8512	10.8511	1
2048	98.4	10.3527	10.3526	10.3522	10.3532	1
2048	99.2	9.86313	9.86313	9.86282	9.86278	1
2048	100	9.38375	9.38368	9.3835	9.384	1
2048	100.8	8.915	8.91475	8.91474	8.91488	1
2048	101.6	8.45744	8.45709	8.4571	8.45755	1
2048	102.4	8.0117	8.01154	8.01123	8.01167	1
2048	103.2	7.57848	7.57886	7.5778	7.57858	1
2048	104	7.15858	7.15941	7.15769	7.15847	1
2048	104.8	6.75294	6.75337	6.75175	6.75319	1
2048	105.6	6.3627	6.3611	6.36127	6.36236	1
2048	106.4	5.98926	5.98536	5.98736	5.9898	1
2048	107.2	5.63448	5.63086	5.63244	5.63381	1
2048	108	5.30108	5.3023	5.29805	5.30195	1
2048	108.8	4.99445	5.00214	4.9913	4.99348	1
2048	109.6	4.72358	4.72859	4.7206	4.72487	1
2048	110.4	4.47879	4.47939	4.47667	4.4773	1
2048	111.2	4.25399	4.2522	4.25195	4.25564	1
2048	112	4.04604	4.04411	4.04444	4.04442	1
2048	112.8	3.85275	3.85202	3.85136	3.85428	1
2048	113.6	3.67243	3.67282	3.67134	3.6712	1
2048	114.4	3.50375	3.5044	3.50286	3.50459	1
2048	115.2	3.34559	3.34604	3.34491	3.34532	1
2048	116	3.197	3.19713	3.19647	3.19667	1
2048	116.8	3.05716	3.05708	3.05676	3.05813	1
2048	117.6	2.92537	2.92525	2.92504	2.92391	1
2048	118.4	2.80099	2.80095	2.80069	2.80276	1
2048	119.2	2.68346	2.68353	2.68315	2.68173	1
2048	120	2.5723	2.57239	2.57191	2.5737	1
4096	80	23.6585	23.6585	23.6586	23.6586	1
4096	80.8	23.018	23.018	23.0181	23.0179	1
4096	81.6	22.3819	22.3819	22.3819	22.382	1
4096	82.4	21.7503	21.7503	21.7503	21.7505	1
4096	83.2	21.1234	21.1234	21.1234	21.1234	1
4096	84	20.5013	20.5013	20.5013	20.5012	1
4096	84.8	19.8843	19.8843	19.8843	19.8843	1
4096	85.6	19.2724	19.2724	19.2724	19.2726	1
4096	86.4	18.6658	18.6658	18.6659	18.666	1
4096	87.2	18.0648	18.0648	18.0648	18.0648	1
4096	88	17.4695	17.4694	17.4695	17.4693	1
4096	88.8	16.88	16.88	16.88	16.8799	1
4096	89.6	16.2967	16.2966	16.2967	16.2967	1
4096	90.4	15.7196	15.7196	15.7196	15.7198	1
4096	91.2	15.1491	15.1491	15.1492	15.1493	1
4096	92	14.5854	14.5854	14.5855	14.5855	1
4096	92.8	14.0287	14.0287	14.0287	14.0287	1
4096	93.6	13.4793	13.4793	13.4794	13.4792	1
4096	94.4	12.9374	12.9374	12.9375	12.9373	1
4096	95.2	12.4034	12.4034	12.4034	12.4033	1
4096	96	11.8776	11.8776	11.8777	11.8775	1
4096	96.8	11.3603	11.3602	11.3604	11.3602	1
4096	97.6	10.8518	10.8518	10.8518	10.8518	1
4096	98.4	10.3527	10.3526	10.3526	10.3527	1
4096	99.2	9.86313	9.86313	9.86321	9.86321	1
4096	100	9.38375	9.38368	9.38386	9.38385	1
4096	100.8	8.915	8.91475	8.91508	8.91513	1
4096	101.6	8.45744	8.45709	8.45743	8.45759	1
4096	102.4	8.0117	8.01154	8.01153	8.01185	1
4096	103.2	7.57848	7.57886	7.57839	7.57863	1
4096	104	7.15858	7.15941	7.1586	7.15871	1
4096	104.8	6.75294	6.75337	6.75304	6.75306	1
4096	105.6	6.3627	6.3611	6.36286	6.36278	1
4096	106.4	5.98926	5.98536	5.98946	5.9893	1
4096	107.2	5.63448	5.63086	5.63472	5.63447	1
4096	108	5.30108	5.3023	5.30137	5.30102	1
4096	108.8	4.99445	5.00214	4.9949	4.99424	1
4096	109.6	4.72358	4.72859	4.72387	4.72342	1
4096	110.4	4.47879	4.47939	4.47902	4.47861	1
